Order_ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order_Date,CustomerName_x,State,City_x,Year-Month,Customer_ID,ProductID,CustomerName_y,Country,City_y,Subscription_Date,ProductName,Price,CategoryID,Total_Revenue,Profit_Margin,Customer_Lifetime_Value
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,1,1,Sheryl Baxter,Chile,East Leonard,2020-08-24,Flour - Whole Wheat,74.2988,3,48630,13.10919185687847,807306
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,2,2,Preston Lozano,Djibouti,East Jimmychester,2021-04-23,Cookie Chocolate Chip ,91.2329,3,48630,13.10919185687847,817932
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,3,3,Roy Berry,Antigua and Barbuda,Isabelborough,2020-03-25,Onions ,9.1379,9,48630,13.10919185687847,478466
B-26776,4975,1330,14,Electronics,Printers,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06,4,4,Linda Olsen,Dominican Republic,Bensonview,2020-06-02,"Sauce - Gravy, Au Jus, Mix",54.3055,9,69650,26.733668341708544,593543
B-26776,4975,1330,14,Electronics,Printers,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12,5,5,Joanna Bender,Slovakia (Slovak Republic),West Priscilla,2021-04-17,Artichokes - Jerusalem,65.4771,2,69650,26.733668341708544,788411
B-26776,4975,1330,14,Electronics,Printers,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07,6,6,Aimee Downs,Bosnia and Herzegovina,Chavezborough,2020-02-25,Wine - Magnotta - Cab Sauv,79.7184,8,69650,26.733668341708544,607254
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2024-05-11,John Fields,Florida,Orlando,2024-05,7,7,Darren Peck,Pitcairn Islands,Lake Ana,2021-08-24,Table Cloth - 53x69 Colour,31.837,9,18300,12.131147540983607,666528
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2021-10-09,Clayton Smith,Florida,Miami,2021-10,8,8,Brett Mullen,Bulgaria,Kimport,2021-04-12,Halibut - Steaks,89.8573,5,18300,12.131147540983607,698019
B-26640,883,117,10,Electronics,Laptops,EMI,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,9,9,Sheryl Meyers,Cyprus,Robersonstad,2020-01-13,Rabbit - Whole,84.4219,11,8830,13.250283125707815,558632
B-26640,8127,3551,16,Furniture,Tables,Credit Card,2022-11-18,Richard Kelley,California,Los Angeles,2022-11,10,10,Michelle Gallagher,Timor-Leste,Elaineberg,2021-11-08,Scampi Tail,95.0957,4,130032,43.69385997292974,847096
